yorum;;;
The festivals attended by this film are distributed among the prizes given by the film, the sincerity in the narrative, the pleasure taken from the movie, and the fact that although the actors are new and trivial names, they do not include anything in the film and they all had this film.;;;
"a very funny movie or one of the best comedies I&#39;ve watched, so you&#39;re full of laughter.";;;
as well as everyone said that the tub scene was very nice also michelle pfeifferin actress was very good;;;
dreams are very wide and people never dream of realizing their dreams ... I think this movie is very high quality ... such films on behalf of the Turkish cinema would be very pleasing to those who do not ...;;;
to congratulate a film so warm and sincere that he has done a very nice job that John uluçeyi show that if the directors enough budgets are presented to what they do ......... Anyway I recommend to everyone;;;
"A very nice movie ... I watched with curiosity was a nice movie in a few scenes of the movie, but now here I tell you not to watch it as it reads :) Yes, the girls also moved to get worse, I&#39;m sorry I will get ... anyway 8/10 I say because of the disadvantages of some not understand the sentences :)";;;
"I just wanted to tell the presentation, the movie was perfect ... and the subject was very hungry and messy ... with a very unclear subject ... and most of the time your hair was blossoming ... and at the end of the film I was so surprised that I couldn&#39;t tell you that I would suggest that everyone watch before ... really worth the money you give ....";;;
simply great ... would recommend to anyone ... be sure to follow ...;;;
Pure innocent children of Anatolia, the child inside us!;;;
He&#39;s hesitant watching this movie. but I think everyone should watch it :) http://tinypaste.com/528b8b36;;
I watched the movie today. Obviously I didn&#39;t expect such a beautiful film. One of the most beautiful movies I&#39;ve seen in recent months. It was just great. It wasn&#39;t unintelligible. I can watch one more time ... I think you should go and watch. Make sure you will enjoy.
The best turkish film I ever watched ...;;;
very beautiful bi film. ideal for spending time.;;;
One of the most beautiful films on &#39;See-Image-Cinema&#39; ...;
I think the taste of watermelon in the palate, a film that makes you want to make a film: D: D: D;;;
war or action side, in the shadow of the love side, worth watching a movie;;;
I was very excited in the middle. The first film is played in the movies so that they are playing so well that they have in the film. When I was retired when I went to a village so peaceful that I got your message :) I was so excited that I ended up with a very nice bi but I didn&#39;t expect it but I had a lot of dreams in the movie after all;;
The health of the person who made a perfect film was a perfect natural (I was crying);;;
Really good movie;;;
an impressive film tells the impossible love of a British and an Irishman. But the soundtrack couldn&#39;t be chosen well. No good funding behind the movie. Music&#39;s almost gone.;
"there is hope in life to taste something. ahmet uluçayda is the creator of hope. In the dimension of dreaming, we all had to lie down in our childhood in the childhood. ahmet ulucay is one of us and it reflects it nice to every theme used throughout the film was in beauty. The film&#39;s title is the title of the film. thanks to each and every person who contributed to their work.";;;
"I think it is a good film in its own branch, watching only the end of the film, you&#39;ll understand that the 2nd will be withdrawn, which I hope will be removed already.";;;
"When you watch the movie, you&#39;re caught in the flow. It&#39;s a super adventure and love movie. It is impossible to get bored while watching because it is processed in 2 categories :)";;;
It&#39;s a great movie ... ... a movie that has gone up ...;;
do you have this movie? please cvp;;;
"Combat and love reunion Braveheart&#39;s likes this film, but the war scenes remain faint, showing how the honorable br lover can be.";;;
a natural and warm film was very nice ..;;;
The film is a film with a bold heart-like taste, although it is not a movie that contains as much war as it is.;;;
A beautiful movie of the combination of war and love.;;;
I watched the movie I think it would be a boring movie I would like to see a successful movie horror is not a horror, but an immersive tension more than what could be so successful even if you're doing a criticism let's see if this film is good but good;;;
an amazing combination of love and history;;;
An emotional and dramatic story, a striking love affair, a reciprocal love affair, having things to do with the film.;;;
An impressive love adventure drama movie. You can watch with pleasure.;;;
to share your loved one but I suppose it can be so bad ... this movie is especially james franco it so güsell mirrored.;;;
If you want to watch an emotional movie, it's the right movie.;;;
it was a movie that deeply touched me .. love, betrayal, intrigue .. everything was in this film .. good in the scenario .. the dialogues between the girls and the boy in the movie impressed me .. I think a very nice film .. strictly monitored;;;
It was a movie that changed my point of view. A movie that affects the lives of every human being is a book an event or a song that is one of them. Love will be strengthened with your lover.;;;
It was one of the hottest and most natural films I've ever seen …;;;
a movie that you will find yourself in romance and passion when watching. When you think of the period, you can stay between the loyalty and love of the king, you cannot avoid your love, you are a passionate love, a noble king who is in love with the king who respects the love despite everything. There's been a nice movie in the world.;;;
love I and passion have described perfectly. masterpiece. Watch the original and original images. 10/10;;;
Karpian apprentice with the receptacle of the watermelon. The poetry fighters of the war of existence and existence. These children loved the fires. and the film that strolls between the strips of the street of the cat. Life is the representation of life. and squares attached to the can .... a whole new childhood ...;;;
war, love and drama together in a very good way. ;;;
The movie is really perfect with one word really a 10 number one movie I need to appreciate that this movie was made really appreciated in many difficulties;;;
follow and see I say another also do not say beçimi :) .. great or what diyim..ben very impressed .. the best movies I've watched .. bad reviews do not mind certainly .. personally I could not understand how they watched ..: / .. :);;;
One of the great love and war movies. Tristam & amp;;;
Scenario we are a film with the highest level of acting as a film, although we saw the essence of the drama we love the film;;;
Eleven years ago. In the cinema hall, while watching, he had pains, laughing: D;;;
The film is really good.Greg kinnear is so ticky as the role it plays, it gives the right in the toni collette.Although the field arkin, it should be appreciated in Steve Carrell. we know that we too in turkey & quot bilmiyorum.bel;;;
I've been looking for a long time and finally find and watch the movie. Real cinema audiences, the film archive, not only Hollywood movies and music lovers who should watch everyone who watches a great film.I strongly recommend …;;;
The movie is really different and beautiful as the screenplay, but the best movie is not so far as to take the best film ii the film gets the departed but the last of the queen;;;
One of Oscar's biggest candidates. The script and fiction that you put in, even if you don't want to watch it again, is great. Follow Us;;;
the most popular names in romantic movies meg ryan and tom hanks in a very enjoyable film where meet.;;;
wonderful, wonderful and wonderful ..;;;
It was a very successful film. It's a terrific psychological thrill you can watch without getting bored. For Natalie Portman, the only thing that can be said is extraordinary!;;;
Don't be fooled by the bad comments that the fruit-bearing tree is stoned on. simply flawless. It was perfect.;;;
Francis Ford Coppola is a legendary movie classic ... A project that is close to perfection with everything. An art event that should be seen before death ...;;;
I found his book beautiful as a man who reads. His players have given up their roles, some places are not true, but ultimately it is not possible to fully adapt a 1000-page book.;;;
and the oscar goes to natalie portman ;;;
Best film I've ever seen. I was very surprised when I read the comments. I couldn't understand my friends talking about recep ivediktenmi watching another film.;;;
such a film Yarabbi what a movie would say that the film was not, but still 2 hours to spend a pleasant film I'm very happy with the films I've been in those ages !!! It was also very romantic ....;;;
hello to victor hugo. If he watched the movie, he'd give me 10 out of 10. masterpiece.;;;
very beautiful and beautiful movies and savas filmiydi.vizyona never seen a bored divxini took its image too nice iyiki almýþým.film savasla start events events and later aska turnüypr.filmin finalide cok Güzeldi.sýkýlmadan izleyeceiniz bir film herkese öner?orum. :) :) :) :) :) :) :) :) :) :) 10 |;;;
although it had some nonsense, it was a beautiful and impressive film.;;;
like a fairy tale, like poetry, like music, like dancing, singing in the rain, a movie like a movie ... the best of musicals.;;;
osman exam usually does not surprise the movie is doing a beautiful film …;;;
a wonderful transient film tells how much difficulty is encountered in the transition from silent cinema to audio cinema.;;;
a beautiful film that encourages watching. In fact, some people are lucky from birth so I have to find someone and kiss immediately: Pp;;;
The work they do respect ... And also the state will come against ... Of course they are not in our country, the United States ... Otherwise we go to the state without ruining the people ... My dear country, my people, my nation ... It was still beautiful ..;;;
the perfect film in this film to give up the bored ones in the way of the event in such a way that you do not even understand that the time has passed;;;
THE MOST MOVIE OF THE BENCE DÝZÝ FILM PROJECT;;;
Good scenario is actually ... slow slow moving a little bit to the end of the confusing at the end not just say hýmm say aaaa come to say no, will not leave you a movie. .. follow the follow you'll hear no remorse.;;;
I had read the book before watching this film and I was incredibly impressed. but be sure to read the book ahead but surely.;;;
Wonderful film. Sadness, comedy, horses in short, everything I love. In my opinion, it deserves more oscars than the fanciful Oscar films. Would recommend to those who do not watch. 10/10;;;
Stephen King fans are very normal to be disappointed. because this film is a little more intense film noir type enters the work. I found the very successful story very provocative. The film describes a writer's syndromes very well. the fact that we anticipate the end does not reduce the coefficient of pleasure. 8/10;;;
The film is really nice, nice and effective scenes, but I did not get the end of the film, but I watch a movie that is not enough to watch at least johnny depp enough for the film;;;
The first scenes are very funny. In general terms is very fun and as usual funny.;;;
strictly monitored! I watched and added to my archive 10/10;;;
I can't believe that the film was made in 1981, I can bet it was a film that was shot in the 2000s.;;;
a film that needs to be traced.;;;
The perfect movie in the history of cinema among the best war films. I watched him in the military. A German submarine crew is struggling to survive for months on end. The end of the movie is super or .... I would take this movie Oscar but I didn't say political reasons ...;;;
It was one of those rare films that I didn't know why the crying came.;;;
The perfect management of Martin Scorsese, the complete performance of the cast and the successful film-comedy of our hero Paul Hacket with the salvation that will take place in the minds ... I watched with pleasure and curiosity from the beginning ... was also the most different and interesting film of Martin Scorsese. 10/8 should .izlen ...;;;
Jason Statham ..... this man is increasingly increasing his popularity, and soon he will become a sought after actor.;;;
I could only watch it today. I think it was really nice and impressive making one. Even though some points created a question mark, I decided to read the book and I'm sure I would find the answer. But a film to be watched is a great opportunity to catch a different culture even if it is not for nothing.;;;
it was absolutely great too. Especially the cookies were very nice;;;
I was expecting a great final, according to the film's progress ... but I'm disappointed ... but I still like the film!;;;
I was more interested in the book than Da Vinci. I hope the movie will be much nicer. We eagerly await.;;;
was one of the most beautiful films I have watched ... the subject was different, the dialogues in the movie were very nice and the movie was full of mad world song ... but one of my favorite points was the end ... the movie was super finished ... so bad end, with an unexpected end. ..;;;
I like that movie. I've seen it three times.;;;
I love filming. If you knew your future, what you would have chosen would result in my head. fate, a film that passed the quantum, a film.;;;
After watching some movies, it takes a few hours or even a couple of days to occupy your head, for me it wasn't one of those films, but with a traceable gripping, it's a beautiful film, though, I think it's 7 out of 10.;;;
I watched .. very fun and funny film .. good is cikarmislar .. matthewin is oksi girls hardly gusel valla .. in the meantime there is a scene watching the film .. The same Blof game we played.;;;
Edward Norton is an amazing movie that has done a very good job, definitely follow it and don't go out with negative comments. usually the negative comments of the film friends do not know what the film is not in the audience of this film and they see the right to comment themselves in short, all films have such a negative task of making a negative comment I do not understand. this film is already making you wonder when they will be doing more.;;;
legends do not become legendary legends are already done with this going to stallone to finish this legend is doing its best to keep alive. The old movies always keep alive in the legend. If you follow, you will see that the nostargic have done much posting on the old parts. Stallone has added a different dimension to the legend in this movie I hope I won't have a next episode, because this work has a rematch :);;;
Perfect film. A great directing genius. The great performance of Gunnar Björnstrand as Jöns and his lines in the film are truly incredible. it's not a movie for everyone. loss of time for most. but this beautiful film of the great master is a complete phenomenon for true cinema lovers ...;;;
I agree with the ideas of our friends.;;;
beyond excellent;;;
is undoubtedly the masterpiece of cinema history. you have to watch;;;
I'm not exaggerating in my life I can say one of the best films. It is a complete masterpiece. I'm not surprised that Oscar took. A film that can be followed again, dusting in the archives.;;;
the most beautiful film I've ever seen in my life;;;
it is definitely at the top of the movies not to be missed. It's a movie that deserves credit.;;;
the film was nice but the first half was a bit boring The second half was nice;;;
He's got an air that doesn't bother you. Good jokes. Too optimistic. The first was obviously better. Penguins are still the best helper characters in my work in the animation 8/10;;;
Film is really great, such immersive, difficult to come to mind in the film will be very few in the film. I have been successful in every movie in a movie that Affleck successful actor. 90 years of successful actress. .... .I think it's your problem in the film and Ben Affleck.;;;
I think a very nice animation is not only kids but I think it should follow 10 adults 10 out of 10 animation;;;
I guess I've been touched ... But I'm still touched.;;;
Do not think as the age limit is recommended should follow big little everyone ...;;;
If anyone likes cinema or not, everyone should watch Forrest Gump. Forrest Gump has gone beyond a film with his book. In schools, it is recommended that teachers be advised by students. I don't need to praise the film, fuss or exaggerate. Forrest Gump.;;;
I have to watch everyone who wants to love the classic …;;;
Such movies are not really my style, but there is something that attracts me in this movie.;;;
A wonderful, wonderful masterpiece of great cinema …;;;
Tim Robbins And Morgan Freeman show off their best performance in their cinema career. With its cleverly written script, its excitement is increasing and the surprise finale shakes you with the film. I still say that he's missing a lot.;;;
follow a super masterpiece;;;
I didn't watch this time because there is no action in the movie. However, the action in the film is exactly given in the dose. This story is true, that is not fantastic science fiction, so what would they have done. I think it will be an important place among the gangster films.;;;
I think it's a nice action film to spend a nice time. Don't mind the ones who call it a fiasco for the movie !!!;;;
I hope David Yates makes me laugh in this film of the series. It would be good to publish it as a part of the movie. I think it would be different to the film and it would be a film more connected to my book.;;;
Tom Cruise is a very good player. she is still self-evident.;;;
A great movie is truly flawless favor Briony's 13-18 year old and old-fashioned sat in the wet müzik cinematography was so good and the music was great yaþ Oscar is already snatched n 10/10 my favorite ... definitely follow!;;;
I think Vincent must be among the 100 most attractive characters in the history of cinema. It is neither the gun grip nor the blinking eye, the silver fox, as Tom Cruisen said, or the little glamorous devil he was afraid to even meet Stalin. The film is a complete digital camera wonder, especially if it doesn't have a club scene, Vincent is a scene that changes its size and becomes a superhuman entity, Davis Miles chat, the mood of the characters ... In short, a great movie ..........;;;
he is still a hot sequel film that carries the beautiful first film to much more beautiful places.;;;
Before sunset, I don't know if I've come to you enough, but it's not enough I didn't want the film to end, but I wouldn't be more of a sequel.;;;
a heavy but never bored movie to watch. the last scene is surprising people with surprises. 8/10;;;
 The film is far from gripping, but still a beautiful movie, the costumes are super cool and the seriousness of the talk is super, it's worth watching for Blanchett.;;;
One of my favorites …;;;
paris is not one of my favorite cities is still not. but this movie after the cities I want to see between the small number of images in this film. It is not more beautiful, but 9 years of waiting for the film you do not pay attention to the shouting of the film. Therefore film is more attractive than the first film.;;;
the cate blanchett was absolutely fantastic …;;;
The subject of this film I approached without any expectation and without any doubt was very nice.;;;
Quality fun ... Watch if you have time …;;;
Kevin Costner's favorite movie. A film that really needs to be watched;;;
It was really nice to say the best of the movies I watched this time.;;;
excellent;;;
 I've never seen this movie before. I usually prefer to look for high-quality movies from a site. In this film she had a high score, but wasn't popular. After watching, maybe they should be on the main page. Buddha clearly explains what I think of the film ... :);;;
